"","Player","Salary","Guaranteed","Pos","Age","G","GS","MP","PTS","AST","FG","FGA","ORB","DRB","TRB","STL","BLK","TOV"
"144","Isaiah Joe",1517981,1517981,"SG",21,41,1,9.3,3.7,0.5,1.2,3.2,0.1,0.7,0.9,0.3,0.1,0.3
"145","Isaiah Roby",1782621,NA,"PF",22,61,34,23.4,8.7,1.8,3.4,7,1.5,4.1,5.6,0.9,0.6,1.9
"146","Isaiah Stewart",3277080,6710400,"C",19,68,14,21.4,7.9,0.9,3.3,6,2.3,4.3,6.7,0.6,1.3,1
"147","Isaiah Thomas",276039,552077,"PG",31,3,0,16,7.7,1.7,3,9,0.3,1,1.3,0.3,0,2
"148","Ish Smith",4500000,4500000,"PG",32,44,1,21,6.7,3.9,2.9,6.8,0.5,2.9,3.4,0.7,0.3,0.9
"149","Ja Morant",9603360,21722800,"PG",21,63,63,32.6,19.1,7.4,6.8,15.2,0.9,3.1,4,0.9,0.2,3.2
"150","Jabari Parker",1068288,1168288,"PF",25,13,0,12.7,5.5,0.8,2.3,4.2,0.8,2.5,3.2,0.1,0.4,0.8
"151","Jaden McDaniels",2063280,4224720,"PF",20,63,27,24,6.8,1.1,2.6,5.8,0.8,2.9,3.7,0.6,1,0.7
"152","Jae'Sean Tate",1517981,NA,"SF",25,70,58,29.2,11.3,2.5,4.5,8.9,1.9,3.5,5.3,1.2,0.5,1.4
"153","Jae Crowder",9720900,19904700,"PF",30,60,42,27.5,10.1,2.1,3.3,8.2,0.5,4.2,4.7,0.8,0.5,0.9
"154","Jahmi'us Ramsey",1517981,1517981,"SG",19,13,0,7.2,3.1,0.5,1.2,2.9,0.2,0.6,0.8,0.3,0.1,0.2
"155","Jake Layman",3940184,3940184,"SF",26,45,11,13.9,5.1,0.6,2,4.1,0.3,1.2,1.5,0.6,0.4,0.6
"156","Jakob Poeltl",8750000,18148148,"C",25,69,51,26.7,8.6,1.9,3.8,6.2,3.2,4.8,7.9,0.7,1.8,1.2
"157","Jalen Brunson",1802057,NA,"PG",24,68,12,25,12.6,3.5,4.8,9.2,0.4,3,3.4,0.5,0,1.2
"158","Jalen McDaniels",1782621,NA,"SF",23,47,18,19.2,7.4,1.1,2.8,6,1,2.6,3.6,0.6,0.4,1
"159","Jalen Smith",4458000,4458000,"PF",20,27,1,5.8,2,0.1,0.8,1.9,0.3,1.1,1.4,0,0.2,0.3
"160","Jamal Murray",31590000,140400000,"PG",23,48,48,35.5,21.2,4.8,7.9,16.5,0.8,3.3,4,1.3,0.3,2.3
"161","James Harden",43848000,43848000,"PG-SG",31,44,43,36.6,24.6,10.8,7.8,16.7,0.8,7.1,7.9,1.2,0.8,4
"162","James Johnson",2641691,2641691,"PF",33,51,12,20.5,7.2,1.9,2.9,6.4,0.6,2.8,3.5,0.8,0.8,1.1
"163","JaMychal Green",8292683,1.7e+07,"PF",30,58,5,19.3,8.1,0.9,3,6.4,1.5,3.3,4.8,0.4,0.4,0.9
"164","Jaren Jackson Jr.",9180560,114180560,"C",21,11,4,23.5,14.4,1.1,4.8,11.4,1.5,4.1,5.6,1.1,1.6,1.4
"165","Jarred Vanderbilt",4259259,13800000,"PF",21,64,30,17.8,5.4,1.2,2.2,3.7,1.8,3.9,5.8,1,0.7,0.8
"166","Jarrett Allen",2e+07,1e+08,"C",22,63,45,29.6,12.8,1.7,4.7,7.7,3.1,6.9,10,0.5,1.4,1.6
"167","Jarrett Culver",6395160,6395160,"SG",21,34,7,14.7,5.3,0.7,2,4.9,1,2.1,3.1,0.5,0.3,0.8
"168","JaVale McGee",5e+06,5e+06,"C",33,46,2,14.7,7.3,0.8,3.1,6.1,1.7,3.5,5.2,0.4,1.2,1.3
"169","Javonte Green",1669178,3484855,"SF-SG",27,41,2,11.5,3.6,0.4,1.3,2.5,0.6,1.1,1.7,0.7,0.1,0.5
"170","Jaxson Hayes",5348280,12151292,"C",20,60,3,16.1,7.5,0.6,2.9,4.7,1.5,2.8,4.3,0.4,0.6,0.7
"171","Jaylen Brown",24830357,80008929,"SG",24,58,58,34.5,24.7,3.4,9.3,19.2,1.2,4.8,6,1.2,0.6,2.7
"172","Jaylen Nowell",1782621,NA,"SG",21,42,0,18.1,9,1.5,3.4,8,0.5,1.8,2.3,0.5,0.3,0.7
"173","Jayson Tatum",28103550,125903904,"SF",22,64,64,35.8,26.4,4.3,9.5,20.6,0.8,6.6,7.4,1.2,0.5,2.7
"174","Jeff Green",4500000,4500000,"C",34,68,38,27,11,1.6,3.8,7.8,0.5,3.4,3.9,0.5,0.4,0.8
"175","Jerami Grant",2e+07,40952381,"SF",26,54,54,33.9,22.3,2.8,7.4,17.3,0.6,4,4.6,0.6,1.1,2
"176","Jeremy Lamb",10500000,10500000,"SG",28,36,8,21.3,10.1,1.5,3.3,7.7,0.7,2.9,3.6,0.9,0.6,0.6
"177","Jevon Carter",4107149,457149,"PG",25,60,1,12,4.1,1.2,1.6,3.7,0.3,1.3,1.5,0.5,0.2,0.3
"178","Jevon Carter",4107149,7575000,"PG",25,60,1,12,4.1,1.2,1.6,3.7,0.3,1.3,1.5,0.5,0.2,0.3
"179","Jimmy Butler",36016200,167652137,"SF",31,52,52,33.6,21.5,7.1,7,14.2,1.8,5.1,6.9,2.1,0.3,2.1
"180","Joe Harris",17357143,55928571,"SF",29,69,65,31,14.1,1.9,5.2,10.2,0.6,3,3.6,0.7,0.2,0.9
"181","Joe Ingles",1.4e+07,1.4e+07,"SF",33,67,30,27.9,12.1,4.7,4.1,8.4,0.4,3.2,3.6,0.7,0.2,1.7
"182","Joel Embiid",31579390,206889460,"C",26,51,51,31.1,28.5,2.8,9,17.6,2.2,8.4,10.6,1,1.4,3.1
"183","John Collins",2.3e+07,1.25e+08,"PF",23,63,63,29.3,17.6,1.2,6.8,12.2,1.9,5.5,7.4,0.5,1,1.3
"184","John Konchar",2197674,6906977,"SG",24,43,0,13.4,4.3,1.1,1.6,3.2,0.8,2.2,3,0.7,0.2,0.4
"185","Jordan Clarkson",12420000,25760000,"SG",28,68,1,26.7,18.4,2.5,6.7,15.8,0.7,3.3,4,0.9,0.1,1.7
"186","Jordan McLaughlin",1669178,5453037,"PG",24,51,2,18.4,5,3.8,2,4.7,0.4,1.7,2.1,1,0.1,1
"187","Jordan Nwora",1517981,1517981,"SF",22,30,2,9.1,5.7,0.2,2.1,4.5,0.3,1.7,2,0.5,0.2,0.8
"188","Jordan Poole",2161440,6062839,"SG",21,51,7,19.4,12,1.9,4,9.3,0.3,1.5,1.8,0.5,0.2,1
"189","Josh Green",2957520,6055920,"SG",20,39,5,11.4,2.6,0.7,1.1,2.4,0.7,1.3,2,0.4,0.1,0.4
"190","Josh Hart",1.2e+07,1.2e+07,"SF",25,47,4,28.7,9.2,2.3,3.2,7.3,1.1,6.9,8,0.8,0.3,1
"191","Josh Jackson",5005350,5005350,"SG",23,62,25,25.2,13.4,2.3,4.8,11.4,0.9,3.2,4.1,0.9,0.8,2.3
"192","Josh Okogie",4087904,4087904,"SG",22,59,37,20.3,5.4,1.1,1.7,4.3,1.1,1.6,2.6,0.9,0.5,0.7
"193","Josh Richardson",11615328,23811422,"SG",27,59,56,30.3,12.1,2.6,4.5,10.5,0.9,2.4,3.3,1,0.4,1.3
"194","Jrue Holiday",30133333,97179999,"PG",30,59,56,32.3,17.7,6.1,7,13.9,1.2,3.3,4.5,1.6,0.6,2.2
"195","Juan Toscano-Anderson",1701593,1701593,"SG",27,53,16,20.9,5.7,2.8,2.3,3.9,0.5,3.9,4.4,0.8,0.5,1.2
"196","Julius Randle",19800000,96782400,"PF",26,71,71,37.6,24.1,6,8.5,18.6,1.2,9,10.2,0.9,0.3,3.4
"197","Justin Holiday",6006420,12298860,"SG",31,72,52,30.3,10.5,1.7,3.6,8.7,0.4,3.1,3.6,1,0.6,0.8
"198","Karl-Anthony Towns",31610000,101370000,"C",25,50,50,33.8,24.8,4.5,8.5,17.5,2.7,7.9,10.6,0.8,1.1,3.2
"199","Kawhi Leonard",39344900,127477476,"SF",29,52,52,34.1,24.8,5.2,8.9,17.5,1.1,5.4,6.5,1.6,0.4,2
"200","Keita Bates-Diop",1729217,1729217,"SF",25,30,0,8.2,2.6,0.4,1,2.2,0.3,1.3,1.6,0.4,0.2,0.2
"201","Keldon Johnson",2145720,6018745,"SF",21,69,67,28.5,12.8,1.8,4.9,10.2,1.3,4.6,6,0.6,0.3,1.1
"202","Kelly Olynyk",12195122,2.8e+07,"C-PF",29,70,62,28.5,13.5,2.9,4.8,10,1.2,5.7,7,1.1,0.6,1.8
"203","Kelly Oubre Jr.",1.2e+07,1.7e+07,"SF",25,55,50,30.7,15.4,1.3,5.8,13.2,1.5,4.5,6,1,0.8,1.3
"204","Kendrick Nunn",5e+06,5e+06,"PG",25,56,44,29.5,14.6,2.6,5.7,11.8,0.4,2.8,3.2,0.9,0.3,1.4
"205","Kent Bazemore",2401537,2401537,"SF",31,67,18,19.9,7.2,1.6,2.6,5.9,0.4,3,3.4,1,0.5,1.2
"206","Kentavious Caldwell-Pope",13038862,17926980,"SG",27,67,67,28.4,9.7,1.9,3.3,7.6,0.4,2.3,2.7,0.9,0.4,1
"207","Kenyon Martin Jr.",1517981,NA,"SF",20,45,8,23.7,9.3,1.1,3.6,7.1,1.6,3.8,5.4,0.7,0.9,0.8
"208","Kevin Durant",40918900,229997220,"PF",32,35,32,33.1,26.9,5.6,9.3,17.2,0.4,6.7,7.1,0.7,1.3,3.4
"209","Kevin Huerter",4253357,69253357,"SG",22,69,49,30.8,11.9,3.5,4.6,10.6,0.6,2.8,3.3,1.2,0.3,1.1
"210","Kevin Knox",5845978,5845978,"SF",21,42,0,11,3.9,0.5,1.3,3.4,0.2,1.2,1.5,0.3,0.1,0.4
"211","Kevin Love",31300000,60200000,"PF",32,25,25,24.9,12.2,2.5,4.1,10.1,0.7,6.8,7.4,0.6,0.1,1.5
"212","Kevin Porter Jr.",2130240,5975323,"SG",20,26,23,32.1,16.6,6.3,6,14.1,0.8,3,3.8,0.7,0.3,3.5
"213","Kevon Looney",5178572,5178572,"C",24,61,34,19,4.1,2,1.8,3.2,1.9,3.4,5.3,0.3,0.4,0.6
"214","Khem Birch",6350000,20002750,"C",28,67,22,22.8,7.2,1.3,2.8,5.7,2.6,3.2,5.8,0.7,0.7,0.7
"215","Khris Middleton",35500000,73448276,"SF",29,68,68,33.4,20.4,5.4,7.5,15.8,0.8,5.2,6,1.1,0.1,2.6
"216","Killian Hayes",5572680,11410440,"PG",19,26,18,25.8,6.8,5.3,2.7,7.7,0.2,2.4,2.7,1,0.4,3.2
"217","Killian Tillie",2e+06,4e+06,"C",22,18,1,10.1,3.2,0.4,1.1,3.2,0.3,1,1.3,0.3,0.4,0.1
"218","Kira Lewis Jr.",3822240,7826520,"PG",19,54,0,16.7,6.4,2.3,2.4,6.2,0.2,1.1,1.3,0.7,0.2,0.6
"219","Kyle Anderson",9937150,9937150,"PF",27,69,69,27.3,12.4,3.6,4.5,9.5,0.8,5,5.7,1.2,0.8,1.2
"220","Kyle Kuzma",1.3e+07,2.6e+07,"SF",25,68,32,28.7,12.9,1.9,4.9,11.1,1.6,4.5,6.1,0.5,0.6,1.7
"221","Kyle Lowry",26984128,85000002,"PG",34,46,46,34.8,17.2,7.3,5.7,13,0.8,4.6,5.4,1,0.3,2.7
"222","Kyrie Irving",34916200,34916200,"PG",28,54,54,34.9,26.9,6,10.2,20.1,1,3.8,4.8,1.4,0.7,2.4
"223","KZ Okpala",1782621,1782621,"PF",21,37,9,12.1,2.5,0.5,1,2.6,0.6,1.3,1.8,0.3,0.3,0.4
"224","Lamar Stevens",1517981,NA,"PF",23,40,0,12.5,4.1,0.6,1.6,3.4,0.6,1.8,2.4,0.4,0.3,0.6
"225","LaMarcus Aldridge",2641691,2641691,"C",35,26,23,25.9,13.5,1.9,5.4,11.4,0.7,3.8,4.5,0.4,1.1,1
